,Param_Name,Param_Value,Param_Index,Choice_Alternative,t_stats,t_stats_abs,Param_Name_Short,Param_Value_Star
0,ASC_1,-3.6417784035234946,0,1,-5.494867677791669,5.494867677791669,ASC,-3.642***
1,ASC_2,-6.620488636968117,0,2,-12.216559221436638,12.216559221436638,ASC,-6.62***
2,ASC_3,-7.565149233894788,0,3,-7.379058824048817,7.379058824048817,ASC,-7.565***
3,work_distance_log_0,-0.037198859809590194,1,0,-1.878639824747727,1.878639824747727,work_distance_log,-0.037*
4,home_office_0,0.5795566365988765,2,0,1.3707617789432218,1.3707617789432218,home_office,0.58
5,dist_goods_0,-0.07634718119995165,3,0,-3.754202122300915,3.754202122300915,dist_goods,-0.076***
6,lim_health_0,0.16595186722148186,4,0,1.8823118837523867,1.8823118837523867,lim_health,0.166*
7,social_share_co_0,-0.1933783935615821,5,0,-9.31686227236042,9.31686227236042,social_share_co,-0.193***
8,age_group_0,-0.05973330156815501,6,0,0.36051177746442675,0.36051177746442675,age_group,-0.06
9,employed_0,-0.3941861294814083,7,0,-1.9113086572433473,1.9113086572433473,employed,-0.394*
10,hh_size_below_18_0,-0.14454134424577564,8,0,-2.139384986116718,2.139384986116718,hh_size_below_18,-0.145**
11,hh_size_over_18_0,-0.6713745150693254,9,0,-6.239457904099602,6.239457904099602,hh_size_over_18,-0.671***
12,ewzahl_0,0.39075055935530567,10,0,3.2506951507431343,3.2506951507431343,ewzahl,0.391***
13,importance_pt_qual_for_co_0,-11.850032356948883,11,0,-8.603887840987797,8.603887840987797,importance_pt_qual_for_co,-11.85***
14,net_income_0,-0.4469724706187894,12,0,-9.953919680701524,9.953919680701524,net_income,-0.447***
15,work_distance_log_1,0.014393113387729979,1,1,-0.290054229048464,0.290054229048464,work_distance_log,0.014
16,home_office_1,0.07802046491368464,2,1,1.0891413569720028,1.0891413569720028,home_office,0.078
17,dist_goods_1,0.006320655951159022,3,1,-0.4918212506303697,0.4918212506303697,dist_goods,0.006
18,lim_health_1,0.21378144677153255,4,1,2.9191032380780895,2.9191032380780895,lim_health,0.214***
19,social_share_co_1,0.01659154772747459,5,1,-0.5906889681738358,0.5906889681738358,social_share_co,0.017
20,age_group_1,0.1755554827796135,6,1,3.1823749996918576,3.1823749996918576,age_group,0.176***
21,employed_1,-0.05464879781152907,7,1,-0.8546982120414537,0.8546982120414537,employed,-0.055
22,hh_size_below_18_1,-0.04194498671358241,8,1,-0.6872525223725751,0.6872525223725751,hh_size_below_18,-0.042
23,hh_size_over_18_1,-0.2884773545411059,9,1,-3.824449355707845,3.824449355707845,hh_size_over_18,-0.288***
24,ewzahl_1,0.22095261519379383,10,1,3.101360445790704,3.101360445790704,ewzahl,0.221***
25,importance_pt_qual_for_co_1,3.8082979655996088,11,1,7.080923581942206,7.080923581942206,importance_pt_qual_for_co,3.808***
26,net_income_1,-0.16792174196461535,12,1,-4.885981458629174,4.885981458629174,net_income,-0.168***
27,work_distance_log_2,0.10685732799924433,1,2,1.6100412561711233,1.6100412561711233,work_distance_log,0.107
28,home_office_2,-0.19724344521948406,2,2,0.7230165815564584,0.7230165815564584,home_office,-0.197
29,dist_goods_2,0.025007040529931378,3,2,0.7889279773625812,0.7889279773625812,dist_goods,0.025
30,lim_health_2,0.2102009114838091,4,2,0.31251278594732557,0.31251278594732557,lim_health,0.21
31,social_share_co_2,0.12128057311863885,5,2,4.346186087068137,4.346186087068137,social_share_co,0.121***
32,age_group_2,-0.008899773385978273,6,2,1.1851760734458687,1.1851760734458687,age_group,-0.009
33,employed_2,-0.030304911448872755,7,2,-1.049089141597725,1.049089141597725,employed,-0.03
34,hh_size_below_18_2,0.054976678306165365,8,2,0.676074155838201,0.676074155838201,hh_size_below_18,0.055
35,hh_size_over_18_2,0.26952398690754287,9,2,1.641266348002898,1.641266348002898,hh_size_over_18,0.27
36,ewzahl_2,-0.11361838539771871,10,2,0.21055655611295707,0.21055655611295707,ewzahl,-0.114
37,importance_pt_qual_for_co_2,3.9779377590931815,11,2,7.12514221096328,7.12514221096328,importance_pt_qual_for_co,3.978***
38,net_income_2,0.2680128259312421,12,2,5.6395915079322165,5.6395915079322165,net_income,0.268***
39,work_distance_log_3,-0.0840515815769811,1,3,0.30523723860083274,0.30523723860083274,work_distance_log,-0.084
40,home_office_3,-0.4603336562930823,2,3,-1.1038489484661373,1.1038489484661373,home_office,-0.46
41,dist_goods_3,0.045019484729062885,3,3,1.809883365159221,1.809883365159221,dist_goods,0.045*
42,lim_health_3,-0.5899342254768345,4,3,-2.074115987066889,2.074115987066889,lim_health,-0.59**
43,social_share_co_3,0.0555062727199807,5,3,1.8567337376104045,1.8567337376104045,social_share_co,0.056*
44,age_group_3,-0.10692240782497901,6,3,-1.6680772541866966,1.6680772541866966,age_group,-0.107*
45,employed_3,0.47913983874173804,7,3,2.0294659631499474,2.0294659631499474,employed,0.479**
46,hh_size_below_18_3,0.13150965265324235,8,3,3.251886758710523,3.251886758710523,hh_size_below_18,0.132***
47,hh_size_over_18_3,0.690327882703029,9,3,3.2037202440837045,3.2037202440837045,hh_size_over_18,0.69***
48,ewzahl_3,-0.4980847891513377,10,3,-2.258887611232145,2.258887611232145,ewzahl,-0.498**
49,importance_pt_qual_for_co_3,4.0637966322553725,11,3,4.9589603573095955,4.9589603573095955,importance_pt_qual_for_co,4.064***
50,net_income_3,0.34688138665250295,12,3,6.32044566635495,6.32044566635495,net_income,0.347***
